x1	x2	x3	n	t	s11	s12	s13	s22	s23	s33	cfs	dip	stk	rk
0.70128	9.723	1.3683	41	1.0	1047000.0	716500.0	121600.0	242000.0	372900.0	-739900.0	-260631.8887889985	65.0	45.0	120.0
4.2762	7.6381	0.074291	42	1.0	1707000.0	747800.0	151500.0	-125400.0	340400.0	-675700.0	-208690.90665280243	55.0	15.0	-80.0
-1.3641	11.199	3.3707	43	1.0	234800.0	-229900.0	170400.0	-616500.0	678400.0	-268300.0	-633749.9553786238	45.0	325.0	-70.0
3.4982	6.9511	1.1796	44	1.0	309000.0	-1833.0	-263600.0	-1774000.0	203800.0	-850800.0	-1029023.6331494673	20.0	40.0	-50.0
2.1812	9.1492	0.66489	45	1.0	-20720.0	-19660.0	177900.0	-43060.0	407000.0	445400.0	-76121.32075958059	55.0	130.0	-90.0
3.2585	8.789	0.70195	46	1.0	577800.0	203500.0	300400.0	-100700.0	427100.0	256900.0	-261382.680863064	75.0	170.0	-80.0
-3.4982	13.636	0.27116	47	1.0	928000.0	1169000.0	-1542000.0	2130000.0	-1330000.0	-2431000.0	1509905.5392098245	55.0	100.0	-100.0
-4.7759	11.908	1.7014	48	1.0	-1743.0	-86440.0	-340200.0	107500.0	-105300.0	-257300.0	-146355.18139262637	45.0	140.0	-90.0
-2.7261	10.972	1.1065	49	1.0	151000.0	237500.0	-291700.0	764000.0	-415800.0	-318800.0	854445.7188904728	35.0	15.0	-20.0
-4.4258	15.709	1.1772	50	1.0	-14450.0	-169700.0	-392500.0	-135600.0	-195900.0	-292900.0	331294.3941485041	75.0	75.0	-50.0
-0.24175	12.681	0.073053	51	1.0	657900.0	544700.0	24340.0	518300.0	102500.0	-297900.0	1051548.5659960662	50.0	140.0	-90.0
-2.6354	15.503	0.98714	52	1.0	5044.0	-49750.0	37570.0	231500.0	174500.0	147200.0	-80393.52429923868	85.0	150.0	-20.0
-2.342	14.092	1.3589	53	1.0	140500.0	71290.0	-34410.0	341000.0	137700.0	39280.0	307499.6242271634	60.0	120.0	-130.0
-4.4837	15.847	1.3572	54	1.0	98800.0	-73080.0	-280800.0	-8367.0	-84520.0	-181900.0	-216971.34771887452	45.0	115.0	-160.0
-4.7703	14.697	1.063	55	1.0	-945900.0	-1102000.0	824700.0	-916800.0	329700.0	2067000.0	630264.3109818927	50.0	20.0	-140.0
-1.4509	15.334	2.7989	56	1.0	185900.0	-23540.0	95080.0	-130500.0	281400.0	104800.0	-76231.17878058305	70.0	125.0	-130.0
-4.6004	14.807	0.51992	57	1.0	-2609000.0	-3450000.0	2657000.0	-3995000.0	1533000.0	6301000.0	-6450172.378098365	60.0	110.0	-100.0
-1.2249	10.675	0.29175	58	1.0	1655000.0	518900.0	686500.0	2418000.0	-574100.0	2177000.0	1619983.694369434	60.0	135.0	-100.0
-5.0751	14.87	2.2391	59	1.0	471100.0	-89540.0	294500.0	312200.0	325800.0	1222000.0	21611.951512241445	80.0	90.0	-60.0
-3.5741	15.388	0.57344	60	1.0	-234400.0	-237500.0	262600.0	303900.0	319600.0	340000.0	-117740.10122615579	50.0	135.0	-80.0
-3.4236	12.619	0.90101	61	1.0	-716100.0	-815300.0	450100.0	-891900.0	476000.0	1706000.0	127435.2031994965	30.0	95.0	-120.0
-6.6502	12.422	0.87867	62	1.0	34960.0	-222600.0	-179500.0	239800.0	-158600.0	126800.0	52922.767191375155	90.0	340.0	50.0
-2.2392	15.008	2.078	63	1.0	197200.0	37070.0	44280.0	89320.0	250500.0	64820.0	71961.11380670166	80.0	200.0	-10.0
-1.4166	13.178	1.3324	64	1.0	280000.0	215100.0	21870.0	352600.0	242000.0	41140.0	386424.21068605647	55.0	125.0	150.0
-5.6824	14.841	0.21531	65	1.0	934600.0	689500.0	184300.0	1420000.0	116800.0	5284.0	1534859.9128986644	55.0	110.0	-130.0
-6.9417	20.37	0.43182	66	1.0	346200.0	120400.0	8055.0	-228100.0	36590.0	41250.0	189625.9265276704	50.0	135.0	-80.0
-9.411	19.605	1.6702	67	1.0	275000.0	204000.0	-173500.0	93770.0	154700.0	-71640.0	320637.8067691726	80.0	145.0	-40.0
-6.7711	16.27	1.2605	68	1.0	-2263000.0	-2243000.0	792400.0	-2689000.0	381700.0	3935000.0	-4241520.569780018	80.0	120.0	-160.0
-4.7546	16.264	2.2122	69	1.0	365200.0	93000.0	67560.0	130000.0	265900.0	57630.0	388202.4118646878	45.0	140.0	-100.0
-10.688	18.213	2.0802	70	1.0	20610.0	100000.0	-51570.0	347100.0	-45130.0	-63730.0	238859.41690207145	70.0	215.0	-30.0
-9.6638	15.612	0.36415	71	1.0	117400.0	-39690.0	-72310.0	367100.0	-63200.0	45990.0	99438.81505670723	40.0	155.0	-70.0
-8.8541	18.942	0.32108	72	1.0	323300.0	-158100.0	282600.0	606200.0	-55970.0	1280000.0	114365.14728668988	75.0	290.0	-160.0
-8.9684	19.451	1.5661	73	1.0	267000.0	191000.0	-153700.0	82230.0	152200.0	-34550.0	333001.5044011991	90.0	65.0	-130.0
-7.0873	20.689	0.85997	74	1.0	282200.0	122800.0	1339.0	-169100.0	56150.0	49980.0	-125793.03167550632	40.0	355.0	-75.0
-6.7256	19.321	0.55513	75	1.0	298600.0	-11080.0	41770.0	-292600.0	142600.0	111700.0	150429.24093209277	85.0	110.0	110.0
-6.138	19.806	0.2579	76	1.0	316800.0	8907.0	9526.0	-328100.0	51610.0	-16580.0	-32306.285826182197	40.0	160.0	-50.0
-5.7529	18.805	1.0037	77	1.0	169800.0	-116000.0	-31450.0	-312000.0	78600.0	141900.0	-31239.342138368207	85.0	130.0	90.0
-6.8558	19.058	1.7401	78	1.0	251200.0	65190.0	-141500.0	-143600.0	40330.0	23920.0	-7165.100608834444	40.0	350.0	-65.0
-5.1664	16.716	0.69619	79	1.0	-712600.0	-706600.0	21160.0	-601500.0	162200.0	476600.0	-455669.3311495882	30.0	140.0	-120.0
-8.3061	14.822	2.1075	80	1.0	-295000.0	-249800.0	-3777.0	117800.0	-38450.0	122100.0	-107685.69870134481	15.0	110.0	-110.0
-7.8968	20.497	0.38532	81	1.0	336200.0	257400.0	8385.0	-31180.0	79000.0	43970.0	264288.292571445	75.0	110.0	-50.0
-8.1787	17.126	0.058367	82	1.0	1216000.0	525200.0	57440.0	988600.0	-18770.0	64680.0	258412.0031029858	10.0	65.0	-110.0
7.7277	0.69639	1.5874	83	1.0	-375800.0	-1007000.0	1433000.0	-164900.0	-641500.0	2357000.0	2750831.043085148	55.0	80.0	100.0
8.4726	4.2655	0.7731	84	1.0	-942800.0	-521100.0	241700.0	655100.0	107900.0	201600.0	-453230.01219892956	50.0	145.0	-70.0
4.2924	0.53377	1.2954	85	1.0	-336600.0	-620900.0	-547900.0	-990400.0	126000.0	453100.0	-1199216.240269362	70.0	145.0	-80.0
3.8205	2.8863	1.2408	86	1.0	-1514000.0	-1110000.0	-69090.0	-1876000.0	-156400.0	754000.0	-1845852.507478516	80.0	195.0	-10.0
6.1969	2.721	1.8785	87	1.0	-87650.0	247700.0	2813000.0	2587000.0	-609800.0	4992000.0	1373696.2276565311	50.0	140.0	-60.0
5.9834	0.7837	3.3365	88	1.0	-2065000.0	-2150000.0	1146000.0	-503800.0	-1307000.0	3863000.0	-3114817.816873076	40.0	145.0	-100.0
8.3292	3.0819	0.020656	89	1.0	-282000.0	390100.0	371800.0	1530000.0	144800.0	-588100.0	-568498.9627714166	5.0	5.0	-40.0
6.9605	3.5181	2.8545	90	1.0	-157300.0	-67670.0	961900.0	670900.0	161100.0	669800.0	720296.7233174951	35.0	135.0	-110.0
7.6893	5.3627	2.8196	91	1.0	-444400.0	-347500.0	192800.0	212800.0	11570.0	259200.0	-537642.0948615063	60.0	115.0	-120.0
7.3409	2.0303	0.73498	92	1.0	-3704000.0	-2726000.0	1847000.0	-6090000.0	1030000.0	-3735000.0	-2451367.6534951837	15.0	145.0	90.0
2.3123	1.9275	1.4004	93	1.0	-785600.0	-401100.0	-17440.0	-312800.0	191900.0	632900.0	-504605.8220451774	85.0	90.0	-80.0
7.3659	3.2915	1.9588	94	1.0	-284000.0	-97070.0	326300.0	768700.0	-298900.0	-155100.0	842275.6484794458	35.0	10.0	-90.0
8.6537	4.2927	0.15674	95	1.0	-1078000.0	-470800.0	155100.0	780300.0	77310.0	-113500.0	-972593.4942489155	65.0	100.0	-70.0
5.9855	-0.05163	4.4659	96	1.0	-1300000.0	-176300.0	723500.0	1528000.0	-949600.0	-70370.0	-1689431.514279188	75.0	80.0	-140.0
6.4719	3.8855	0.49827	97	1.0	-4842000.0	-3750000.0	1627000.0	-3366000.0	1298000.0	1233000.0	524591.5128749384	15.0	320.0	180.0
5.5794	5.711	1.5217	98	1.0	-672600.0	-817800.0	-260400.0	-938400.0	-203100.0	156000.0	-687705.8173925898	40.0	70.0	-160.0
5.6454	1.5198	2.2888	99	1.0	-4919000.0	-6122000.0	2456000.0	-8805000.0	1732000.0	8320000.0	-656618.9095075584	40.0	20.0	30.0
5.6876	4.8927	3.6137	100	1.0	-603500.0	-414700.0	532000.0	-31400.0	537700.0	1081000.0	-931846.3631104433	50.0	355.0	-40.0
6.685	-1.0803	2.2744	101	1.0	397300.0	102700.0	-434000.0	-722300.0	214400.0	-182400.0	-590865.017526953	85.0	135.0	170.0
7.7821	-0.69074	0.93442	102	1.0	703500.0	220900.0	-219600.0	-17990.0	-105200.0	-14940.0	257000.12906310917	60.0	150.0	-100.0
-1.6496	5.0613	0.77266	103	1.0	-700400.0	-77690.0	44660.0	-782400.0	337700.0	314300.0	-846781.4960925959	70.0	150.0	-60.0
0.15002	9.9293	2.3024	104	1.0	428200.0	314900.0	428800.0	260500.0	859500.0	117500.0	-953050.7776085985	30.0	40.0	-20.0
1.0713	7.171	1.3933	105	1.0	-1697000.0	-1206000.0	-279000.0	-1369000.0	-278700.0	1632000.0	-2634987.255347848	70.0	110.0	-130.0
3.5319	7.5426	2.3911	106	1.0	34810.0	-308700.0	177800.0	-700400.0	170600.0	-52870.0	-288414.89979181055	45.0	125.0	-100.0
-0.4655	6.3201	1.652	107	1.0	-158600.0	-255000.0	-815300.0	-282800.0	-592900.0	1353000.0	-1028818.0909074701	55.0	145.0	-80.0
-0.86944	6.2843	1.6725	108	1.0	-201300.0	-211900.0	-644600.0	-128400.0	-392800.0	1760000.0	-522958.2556977173	55.0	360.0	-100.0
2.7777	8.1025	2.2682	109	1.0	289800.0	-87770.0	256300.0	-598300.0	266100.0	-190000.0	-561690.8574584717	10.0	30.0	-30.0
2.2849	8.4933	0.11513	110	1.0	1888000.0	1555000.0	561800.0	1943000.0	723800.0	-374200.0	1571009.6119142945	75.0	255.0	180.0
2.4659	7.9352	1.0425	111	1.0	95270.0	11650.0	-600000.0	-775000.0	55590.0	-1085000.0	-440311.7922606319	45.0	100.0	-160.0
2.988	9.6306	0.072554	112	1.0	678600.0	409200.0	78110.0	156000.0	159000.0	-394500.0	601155.7913267295	40.0	80.0	-110.0
2.9419	9.918	0.73343	113	1.0	490700.0	141500.0	211000.0	-11510.0	264700.0	128400.0	443879.0819790071	55.0	155.0	-40.0
0.32109	6.1492	1.4858	114	1.0	166600.0	-124800.0	-969100.0	-340400.0	-876700.0	778900.0	568723.6581031331	65.0	25.0	120.0
1.3703	8.2646	0.45092	115	1.0	-2380000.0	-3190000.0	2029000.0	-4484000.0	540900.0	5852000.0	-6248424.05798856	70.0	290.0	-150.0
2.3946	5.4168	1.4843	116	1.0	208300.0	-804900.0	354000.0	-55590.0	-712300.0	3510000.0	-192614.98083476198	80.0	40.0	-120.0
3.4271	9.6806	2.2463	117	1.0	96350.0	-200600.0	274900.0	-391800.0	242400.0	161800.0	-567151.9884184278	75.0	10.0	0.0
4.5168	7.9312	1.2658	118	1.0	329900.0	-320100.0	297200.0	-831200.0	280700.0	347800.0	-269715.1180734263	85.0	140.0	-40.0
-3.9775	12.581	0.064957	119	1.0	679800.0	500600.0	-77860.0	1684000.0	-56110.0	-109100.0	1347003.6832436319	70.0	160.0	-30.0
-3.7837	12.105	1.3326	120	1.0	-333900.0	-364700.0	-116800.0	-547000.0	443900.0	149500.0	-841767.3507779003	70.0	290.0	-150.0
-1.9839	12.256	0.59886	121	1.0	144600.0	353700.0	-130600.0	412800.0	75840.0	-749000.0	586794.6257347058	55.0	105.0	-120.0
-0.85891	11.595	1.9048	122	1.0	481700.0	177400.0	43380.0	223600.0	362700.0	-271300.0	338745.20807545295	75.0	130.0	-140.0
-1.6368	12.342	2.1494	123	1.0	478100.0	201400.0	103400.0	229300.0	357000.0	-156200.0	251079.9295923923	55.0	350.0	-80.0
-5.8974	11.35	0.58545	124	1.0	56720.0	-269100.0	-80040.0	328000.0	-159300.0	66190.0	423956.76859719376	65.0	35.0	-70.0
-2.6292	10.148	0.28353	125	1.0	130400.0	208400.0	-200800.0	1060000.0	-342000.0	11700.0	153313.29361096106	30.0	360.0	40.0
-3.303	13.133	0.27262	126	1.0	273600.0	-1121000.0	1316000.0	-112700.0	187700.0	5437000.0	-2144931.780473395	70.0	105.0	-130.0
-2.4376	12.261	0.018564	127	1.0	694300.0	241500.0	-275100.0	1670000.0	-139200.0	575400.0	1332089.3253619263	65.0	140.0	-110.0
-4.1244	14.521	0.41795	128	1.0	-443100.0	28670.0	167000.0	72500.0	544800.0	-1498000.0	-965987.40155004	30.0	25.0	-20.0
-2.3461	10.303	2.5695	129	1.0	725200.0	462500.0	-622500.0	188900.0	250300.0	-1039000.0	-295859.38154492807	20.0	175.0	-50.0
-2.1017	12.147	0.097666	130	1.0	1013000.0	757800.0	-535400.0	2062000.0	-354900.0	-487700.0	2090860.6384119182	65.0	15.0	-20.0
-4.0207	9.6172	2.3925	131	1.0	407800.0	-30690.0	213500.0	892900.0	-1061000.0	320300.0	621901.1474682166	80.0	135.0	-150.0
-2.4278	10.954	1.8181	132	1.0	-297100.0	-410300.0	-75970.0	-242900.0	-287600.0	298000.0	149893.21476116678	85.0	45.0	0.0
-1.3507	16.098	1.4384	133	1.0	124300.0	2891.0	35870.0	69550.0	173200.0	58570.0	216007.3724310581	30.0	170.0	-60.0
-5.4557	20.877	0.90324	134	1.0	235600.0	19210.0	-3189.0	-227600.0	25360.0	25500.0	-41918.59228829027	50.0	140.0	-100.0
-9.7002	16.995	2.853	135	1.0	-196100.0	-105200.0	137400.0	121200.0	-23560.0	111100.0	-57926.28981007491	45.0	145.0	-80.0
-5.609	19.737	2.8835	136	1.0	206700.0	44320.0	-25210.0	-116900.0	114200.0	64790.0	-162516.98276486647	50.0	5.0	-80.0
-5.613	18.345	1.6874	137	1.0	202400.0	-41440.0	-115200.0	-194500.0	46520.0	81020.0	-150175.35047193884	80.0	230.0	-30.0
-8.611	18.988	1.4255	138	1.0	334600.0	292900.0	-151200.0	66020.0	306100.0	-73290.0	537612.1118789042	70.0	115.0	-130.0
-3.007	16.68	1.6568	139	1.0	83640.0	-78050.0	-16190.0	15880.0	147800.0	89530.0	45957.1850109535	65.0	95.0	-50.0
-4.8093	16.157	2.2022	140	1.0	365200.0	93000.0	67560.0	130000.0	265900.0	57630.0	-18325.60588639528	40.0	340.0	-70.0
-6.8313	16.89	0.5645	141	1.0	-2137000.0	-3111000.0	1499000.0	-3675000.0	170800.0	6738000.0	5036844.17858825	15.0	150.0	130.0
-5.9679	16.593	1.7663	142	1.0	484800.0	41760.0	285300.0	69910.0	327100.0	447500.0	561542.4521724695	5.0	105.0	-70.0
-6.6994	18.365	2.473	143	1.0	312900.0	153700.0	-32200.0	21010.0	255400.0	116300.0	284150.321635175	85.0	170.0	100.0
-6.2815	18.696	0.7104	144	1.0	124300.0	-165800.0	17830.0	-416100.0	182800.0	253400.0	59846.57953881245	75.0	255.0	180.0
-8.1026	17.851	3.0415	145	1.0	337100.0	110700.0	-178200.0	40440.0	390400.0	592800.0	187896.58429396807	25.0	140.0	-40.0
-5.6751	15.778	1.694	146	1.0	375400.0	4397.0	337500.0	492200.0	316400.0	672600.0	769432.2928417812	35.0	85.0	-160.0
-7.7642	18.111	1.5177	147	1.0	300800.0	222300.0	-58210.0	127900.0	449500.0	434700.0	396695.85052518937	50.0	140.0	-100.0
-8.1334	15.931	0.12296	148	1.0	633800.0	249000.0	-124900.0	722600.0	-118100.0	-26030.0	284934.501550626	85.0	65.0	140.0
-8.2867	17.461	1.9877	149	1.0	412600.0	16060.0	-427500.0	-45160.0	92690.0	1034000.0	-76516.31377759692	50.0	115.0	-110.0
7.6925	0.55947	1.4498	150	1.0	-1459000.0	-2037000.0	1674000.0	-2465000.0	167100.0	4321000.0	1009050.470748838	20.0	155.0	-65.0
7.7447	1.5979	1.3439	151	1.0	614400.0	104600.0	1529000.0	1040000.0	-154500.0	15380.0	1318466.6526721609	70.0	325.0	-120.0
7.2691	3.7662	0.54168	152	1.0	-2182000.0	-1573000.0	1401000.0	296300.0	784700.0	1245000.0	-2130966.4831670146	70.0	130.0	-130.0
7.1714	-2.212	2.5593	153	1.0	337100.0	184100.0	-206100.0	-80390.0	126300.0	-62930.0	438266.6059952979	90.0	75.0	-110.0
8.1886	1.8041	1.9106	154	1.0	315300.0	135000.0	680100.0	862700.0	-232800.0	33370.0	186951.21466092253	10.0	325.0	-110.0
7.3626	1.0618	1.2707	155	1.0	-2569000.0	-2594000.0	1617000.0	-3309000.0	140200.0	4026000.0	-4962583.368287465	70.0	170.0	-80.0
6.9785	-0.055852	2.0925	156	1.0	-485500.0	-414700.0	-39550.0	-1869000.0	763400.0	-109600.0	-759446.7441174025	75.0	100.0	-180.0
7.9489	-0.30561	0.96004	157	1.0	804000.0	331000.0	-251400.0	53750.0	-35330.0	-13520.0	304603.3508347892	45.0	155.0	-80.0
7.4421	-0.14018	0.010029	158	1.0	1276000.0	247500.0	-118100.0	914900.0	-51040.0	-104200.0	610697.7443430366	80.0	245.0	110.0
9.1831	-0.10349	0.54143	159	1.0	711500.0	-107600.0	240100.0	-54390.0	-240900.0	922500.0	86036.97352135088	45.0	135.0	-80.0
6.4143	2.1891	4.2297	160	1.0	-885300.0	-456900.0	1047000.0	430100.0	-365200.0	1919000.0	-849322.79841826	50.0	135.0	-100.0
7.8775	1.0158	1.5875	161	1.0	432400.0	-129400.0	1360000.0	925800.0	-421300.0	847400.0	1157485.4302688572	30.0	30.0	-60.0
8.6043	-1.8386	0.66864	162	1.0	645800.0	100100.0	-69210.0	228100.0	-119800.0	16640.0	256765.80830170063	45.0	155.0	-30.0
7.1468	-1.5551	0.65429	163	1.0	590700.0	53460.0	-149800.0	47570.0	-125100.0	24070.0	493009.7363386985	90.0	300.0	90.0
7.5963	0.50552	0.96574	164	1.0	457900.0	-375500.0	-242800.0	-1946000.0	159400.0	916500.0	-1427218.646808292	70.0	310.0	-110.0
6.5947	1.4282	0.98556	165	1.0	-1193000.0	-1957000.0	-302500.0	-4237000.0	700600.0	1744000.0	-148026.34714060626	25.0	155.0	-150.0
4.0512	2.7523	0.15669	166	1.0	1029000.0	703200.0	-325700.0	97000.0	-388600.0	351200.0	736628.8707955292	50.0	10.0	-20.0
10.253	-0.68438	1.5691	167	1.0	403700.0	185100.0	231100.0	511700.0	-152600.0	25900.0	441416.7987853746	35.0	335.0	-85.0
5.3209	2.2616	1.1494	168	1.0	-2766000.0	-2260000.0	-413600.0	-5312000.0	1298000.0	-425000.0	-463776.6207211548	30.0	100.0	10.0
7.4361	1.1984	1.4429	169	1.0	-892400.0	-1615000.0	1806000.0	-1017000.0	-378000.0	2343000.0	-1780580.3374048907	45.0	140.0	-80.0
4.202	7.1972	0.58348	170	1.0	1117000.0	92090.0	572000.0	-758200.0	892500.0	478200.0	454317.94417859474	85.0	55.0	-100.0
4.5824	5.816	1.6346	171	1.0	-496900.0	-736200.0	-452800.0	-1175000.0	-32620.0	-1116000.0	-949580.5295526452	55.0	100.0	-130.0
5.3606	6.7418	1.5184	172	1.0	-247500.0	-869900.0	34910.0	-1023000.0	-7440.0	448900.0	-1294705.5519276247	60.0	110.0	-130.0
3.3697	10.22	0.32056	173	1.0	568200.0	140200.0	96330.0	-37210.0	103100.0	60100.0	429290.8859244575	50.0	110.0	-140.0
2.5403	4.2405	0.21522	174	1.0	597300.0	647600.0	-252800.0	198200.0	-143100.0	278100.0	-124284.21444465133	75.0	45.0	-130.0
3.8289	6.8091	2.3213	175	1.0	-12130.0	-376000.0	66060.0	-804400.0	169100.0	-168000.0	-632325.9024583461	90.0	335.0	180.0
4.3935	2.6345	0.95212	176	1.0	-1257000.0	-884600.0	-523500.0	-1870000.0	-432000.0	767800.0	-2430652.2104939045	50.0	160.0	-90.0
5.0773	3.6865	1.0391	177	1.0	-10230000.0	-14870000.0	7012000.0	-19340000.0	1942000.0	23470000.0	-21026058.42689305	80.0	195.0	-20.0
3.9331	6.3177	1.8574	178	1.0	102600.0	-335900.0	-14350.0	-1171000.0	272100.0	-567100.0	-825661.1059812261	80.0	350.0	-20.0
2.5273	4.9857	2.5249	179	1.0	-4883000.0	-5453000.0	896700.0	-6625000.0	-467700.0	6782000.0	843705.6106681894	45.0	30.0	20.0
4.7449	6.4039	3.7912	180	1.0	-583400.0	-467300.0	140700.0	-241400.0	362100.0	487800.0	-298213.089113364	35.0	110.0	-110.0
5.4941	6.8823	2.3109	181	1.0	-286400.0	-610800.0	82530.0	-515300.0	7131.0	261100.0	157661.8042540159	55.0	60.0	-70.0
1.7829	5.6741	1.1496	182	1.0	586700.0	315300.0	-734300.0	220300.0	-984000.0	599100.0	769975.2092131951	85.0	100.0	-160.0
5.8458	7.1973	3.7155	183	1.0	-418400.0	-430100.0	138000.0	-144900.0	107100.0	310300.0	-399135.2791319087	40.0	105.0	-110.0
