n	x1	x2	x3	t	s11	s12	s13	s22	s23	s33	cfs	dip	stk	rk
24	3.7838321147377623	4.570362049647988	1.7684650731007752	1.0	-325800.0	-342500.0	739800.0	-120600.0	965300.0	1297000.0	-1506265.903079182	80.0	140.0	-80.0
25	7.222534327609546	2.15031430078007	2.194641181247541	1.0	-3942000.0	-4058000.0	-168200.0	-5168000.0	-946300.0	6304000.0	-7211974.832438255	70.0	130.0	-60.0
26	2.799989494235031	0.3885403856669854	0.2767641246947385	1.0	760200.0	-41700.0	1654000.0	1107000.0	-159600.0	1024000.0	1590555.9494487364	85.0	300.0	-120.0
27	6.2591138705544	4.471651396797649	1.070851130097275	1.0	-676100.0	-308700.0	-55910.0	-332400.0	90990.0	77990.0	-163308.9225007079	20.0	30.0	-80.0
28	4.447937213170131	4.198375481390489	0.066718162169325	1.0	-2043000.0	-2267000.0	-825500.0	-2244000.0	-880800.0	354900.0	-2937609.743432837	35.0	85.0	-160.0
29	4.857536359232188	4.129151144922645	0.8791689769532239	1.0	1980000.0	483800.0	1122000.0	264500.0	108200.0	737000.0	1020986.3154938539	50.0	125.0	-140.0
30	4.7110039470826806	2.7232815550070546	1.0672400583780195	1.0	-16940000.0	-15140000.0	5917000.0	-21390000.0	3422000.0	19100000.0	-22985200.000000004	45.0	360.0	-90.0
31	4.896697263602176	4.718890321812633	2.1505536759394155	1.0	-2474000.0	-1465000.0	-106400.0	-2703000.0	83290.0	695600.0	-3209370.8609858914	60.0	130.0	-140.0
32	7.788050809820802	5.810898072691045	1.674572813769143	1.0	320300.0	-50430.0	1207000.0	-20120.0	1731000.0	1642000.0	1372085.8802859914	90.0	270.0	-100.0
33	4.006610905518191	1.2900638302877891	1.266122975322039	1.0	-548800.0	-653500.0	132200.0	-6859.0	-8202.0	240900.0	-663440.3644313829	75.0	165.0	-60.0
34	4.721148235161284	4.3525325830547645	0.3004466000166121	1.0	-761800.0	-790700.0	-634500.0	-1091000.0	88770.0	546400.0	-1367651.636735627	45.0	130.0	-130.0
35	5.029218401468467	5.345773775910083	0.3662112278166375	1.0	8284000.0	-3257000.0	7256000.0	1746000.0	540800.0	26760000.0	3531519.5836884268	30.0	150.0	-110.0
36	7.230469936878126	2.430221929003453	0.662920000321275	1.0	-512500.0	-143600.0	1977000.0	-544700.0	2969000.0	669000.0	3247044.9510603035	30.0	140.0	-120.0
37	6.4719169185124255	2.0449174402235677	1.2078662706662235	1.0	-4877000.0	-436900.0	-634900.0	-477600.0	-565700.0	-7548000.0	-951876.8670314252	35.0	175.0	-70.0
38	4.725015908022482	4.527517424869378	0.2357235879914329	1.0	-7351000.0	-8850000.0	692600.0	-11500000.0	-1354000.0	7434000.0	-8924205.965055153	60.0	110.0	-60.0
39	-0.0043727146545531	10.654500078569946	3.686818871091997	1.0	5142000.0	1908000.0	-4752000.0	9414000.0	-5890000.0	11020000.0	8700477.992889019	80.0	125.0	-150.0
40	3.021358388853896	13.332488160346236	0.093328641036925	1.0	-198500.0	-554600.0	335200.0	-800900.0	684800.0	28160.0	-441419.8670857452	50.0	120.0	-120.0
41	3.4573343419006357	7.776242350266323	1.7673691284983597	1.0	307400.0	-30990.0	33390.0	-177200.0	48600.0	-42430.0	-59811.02626498066	35.0	325.0	-80.0
42	0.7453143816146902	9.620571632273256	1.3807653450849526	1.0	218300.0	-184700.0	48680.0	-870800.0	177200.0	25800.0	197728.5155755509	60.0	75.0	140.0
43	-0.8026617443074449	8.509519434876287	1.41111171221385	1.0	1047000.0	716500.0	121600.0	242000.0	372900.0	-739900.0	1159078.97409803	80.0	290.0	-60.0
44	1.6106117475004915	9.590227459660955	1.724556720807109	1.0	-903400.0	-389000.0	-561000.0	-149600.0	-821900.0	-710000.0	525463.8783310101	40.0	345.0	-90.0
45	-0.941216843187249	6.875983362202247	0.1670066957017117	1.0	545100.0	253800.0	135900.0	-82840.0	259300.0	-285300.0	513396.904889241	80.0	265.0	180.0
46	0.0142140846366528	8.782047368361138	1.5195714041914796	1.0	-701900.0	-267700.0	-251400.0	-986200.0	-287700.0	360400.0	-1023040.9897688768	65.0	295.0	-110.0
47	2.292600841255351	9.697743358950886	0.7631215611795987	1.0	-84170.0	-824800.0	-556400.0	-1450000.0	-547400.0	1754000.0	-1646440.5373938226	65.0	115.0	-120.0
48	-0.3660126382785283	8.777088668823474	2.217707953399673	1.0	387800.0	131000.0	243300.0	104200.0	375000.0	283800.0	663530.6912841807	30.0	140.0	-80.0
49	1.5492750411973415	8.388134197395091	4.080199162562034	1.0	1262000.0	507800.0	-440000.0	605400.0	-201300.0	1125000.0	499861.38397884346	70.0	20.0	-20.0
50	0.0963059920912863	8.99834299894145	1.3968646140509218	1.0	-1050000.0	-761000.0	408800.0	-713500.0	375200.0	78480.0	-300288.0518471041	15.0	20.0	-90.0
51	-1.1506158863083786	7.403693671356722	0.0843585354668546	1.0	418100.0	-511600.0	-435500.0	-1273000.0	138300.0	2571000.0	-1149282.6198916184	65.0	115.0	-120.0
52	0.8638052019364324	8.899575727421988	0.0466312269082099	1.0	-807900.0	-255500.0	-168300.0	-743700.0	-264100.0	547900.0	305765.1468584663	10.0	125.0	160.0
53	2.9297923344191936	4.713593704383151	1.0468826347809013	1.0	2177000.0	2515000.0	-1096000.0	4083000.0	-926000.0	-1570000.0	4066526.596576685	75.0	325.0	-130.0
54	3.006585577709943	6.985287394153156	1.0408860936206046	1.0	-1514000.0	239200.0	-263700.0	1505000.0	-1362000.0	759800.0	1598261.9759547068	50.0	355.0	-130.0
55	2.343302674486605	8.173861658518588	1.6603115688670422	1.0	414900.0	542500.0	-152800.0	-1098000.0	645200.0	-1953000.0	-1442580.8214098825	30.0	15.0	-80.0
56	1.0921848971826087	10.401989983398131	0.3409102125073742	1.0	730600.0	277800.0	-33330.0	-471000.0	208700.0	-750700.0	-344139.1722832292	15.0	25.0	120.0
57	1.0296284935906337	10.736045710973874	1.7033809220373062	1.0	842500.0	411300.0	340800.0	540200.0	540500.0	311600.0	47333.3929771104	80.0	195.0	-70.0
58	-2.5767558589294017	9.764181839971886	0.5548049900734937	1.0	357800.0	142700.0	113300.0	-5323.0	295700.0	-80880.0	315149.41754453204	55.0	135.0	-120.0
59	-1.4631708692844052	14.425701891232608	3.3737292540270936	1.0	-273900.0	93460.0	-312300.0	732200.0	-571900.0	79390.0	382512.78526589426	75.0	50.0	-50.0
60	-3.042743711353479	12.418282122715476	0.7302050324083911	1.0	206600.0	-64600.0	152100.0	-269500.0	340100.0	125000.0	-32141.591383671956	35.0	45.0	-100.0
61	-3.2270550143461927	13.060429719416677	0.3740067810477582	1.0	-361200.0	-470100.0	38080.0	-160800.0	101600.0	1279000.0	303937.5108080361	25.0	60.0	-140.0
62	-2.740124321689908	12.275992904459695	1.2485394672325525	1.0	510500.0	-419700.0	595100.0	739200.0	136200.0	3856000.0	126071.12673440494	85.0	190.0	-40.0
63	-3.2492926811314446	13.104802127874372	2.778117780352089	1.0	306400.0	256700.0	1919.0	1180000.0	-209000.0	121100.0	398955.5239926145	25.0	160.0	-70.0
64	-3.488882153043334	14.207796643171324	0.1045323547521508	1.0	363200.0	72370.0	266500.0	200600.0	298900.0	172000.0	-285733.65376231394	5.0	335.0	-50.0
65	-2.555376341940948	12.797238333622436	0.0957440660138918	1.0	1232000.0	778900.0	553700.0	1769000.0	474200.0	-714300.0	-87779.93111472856	80.0	245.0	110.0
66	-0.4400378207150611	12.747408780724797	1.8606992230675763	1.0	1186000.0	994900.0	-446400.0	2040000.0	-269400.0	-852800.0	2597748.1012045294	65.0	160.0	-80.0
67	-5.072929853101139	11.902124464834037	1.941788680717868	1.0	350500.0	98880.0	117400.0	31380.0	331700.0	2562.0	327166.18187368737	50.0	150.0	-80.0
68	-4.29153098074319	17.14265683079765	2.407484916179596	1.0	46900.0	-67150.0	-311500.0	129500.0	-97090.0	-153100.0	-272926.6434964096	30.0	155.0	-70.0
69	-3.869514403058648	13.752604255181293	0.7368002852950699	1.0	217500.0	1415.0	-20490.0	-42000.0	182100.0	68700.0	84345.10885960938	5.0	210.0	-150.0
70	-2.556911412856625	11.247384302899816	1.727355354661326	1.0	-2853000.0	-3658000.0	2050000.0	-3980000.0	735200.0	6202000.0	-7154082.152183771	80.0	160.0	-70.0
71	-6.630311446399215	17.703236489276026	1.2663589597722087	1.0	-74790.0	-182200.0	-68950.0	152200.0	-92740.0	453400.0	49201.36916651929	80.0	40.0	-120.0
72	-8.396292155862989	18.851186269294	1.3825255751381842	1.0	294900.0	142900.0	-302300.0	-437000.0	-26420.0	-516900.0	-142416.12883572877	55.0	5.0	-60.0
73	-8.805976969720177	19.777757294088577	3.5703410348788447	1.0	486500.0	273800.0	-188900.0	-173300.0	371400.0	-35730.0	322651.91081941675	65.0	120.0	-180.0
74	-5.685979875952837	19.822086271970125	2.8682539772658804	1.0	192000.0	104500.0	-104700.0	32650.0	201000.0	101400.0	-69568.34634708676	55.0	360.0	-100.0
75	-8.957336707277143	19.09808704651998	0.2262156771251545	1.0	202900.0	43810.0	-23240.0	-119500.0	107500.0	62650.0	-5529.295368892781	60.0	160.0	-60.0
76	-7.786544046952047	21.276862315261518	0.1696058047499193	1.0	344000.0	140800.0	29320.0	970000.0	-216800.0	13250.0	495642.8630965152	55.0	115.0	-100.0
77	-6.933846545259119	17.5640672488905	0.3901618308520396	1.0	267600.0	213300.0	-1924.0	-101200.0	31810.0	-9161.0	140599.3675310364	85.0	345.0	-70.0
78	-5.992812125497899	16.534376188979554	1.4247260763917364	1.0	-509600.0	61630.0	-109100.0	-265300.0	644500.0	-1487000.0	441686.22761872155	30.0	155.0	-110.0
79	-10.220125175366697	18.980047699128203	0.3588345341315257	1.0	427300.0	-5601.0	368000.0	-151100.0	344300.0	75110.0	188927.50369626988	20.0	80.0	130.0
80	-6.088856045712403	16.058385707050245	4.086275348914241	1.0	308400.0	34490.0	-35430.0	460000.0	-10330.0	12470.0	253295.54137095646	90.0	340.0	-80.0
81	-5.464283147516802	18.15378914275256	0.2376568288941169	1.0	121700.0	-69790.0	40670.0	-310800.0	378100.0	649700.0	735966.8035814894	25.0	30.0	110.0
82	-7.772023503924729	19.336817020947688	0.9965672373909384	1.0	255600.0	-155800.0	94280.0	-177900.0	161300.0	-46300.0	-66036.68176092426	55.0	130.0	-110.0
83	-9.31798868766591	16.9837288053918	2.257930039556266	1.0	293000.0	59330.0	-166400.0	-445300.0	-2043.0	36510.0	217784.45098028507	55.0	85.0	-120.0
84	-11.028956922638033	19.30564791415958	1.7922184869802071	1.0	-288300.0	-67680.0	106800.0	119900.0	1395.0	-257400.0	-211977.6591430046	70.0	95.0	-70.0
85	-7.351714902424346	15.651148287482966	0.0364644278913648	1.0	144700.0	103100.0	-85590.0	246300.0	29000.0	-432.0	196600.63817829828	55.0	185.0	-30.0
86	-8.729790157099936	14.823269667985793	2.204685042488831	1.0	1021000.0	577300.0	-55950.0	1028000.0	-93170.0	-33600.0	297929.8834752246	25.0	40.0	-50.0
87	5.076458150480245	0.6830481687583381	0.78067060351615	1.0	-146600.0	-155400.0	42320.0	195100.0	-38680.0	247800.0	-183987.9017934492	85.0	90.0	-100.0
88	6.496497590616928	3.283391534302441	2.5972175838369367	1.0	126200.0	-219300.0	-652900.0	-871600.0	-239400.0	180500.0	-478380.415776787	25.0	10.0	-150.0
89	4.85920115982443	0.9653961728709598	0.7065231346360407	1.0	-254400.0	-173100.0	1462000.0	860600.0	306900.0	1402000.0	-418559.059483586	25.0	10.0	20.0
90	5.630988480017828	1.937795083272188	0.7499228757124659	1.0	82450.0	-291400.0	-690900.0	-887700.0	-254200.0	241700.0	-544649.812437456	45.0	125.0	150.0
91	7.105259320710441	5.032191237509813	0.517650687494735	1.0	875100.0	-89140.0	-984000.0	-2591000.0	-277700.0	-51440.0	-771630.6116350021	70.0	145.0	-80.0
92	7.502304573292176	1.5413415549768823	0.4611737218813233	1.0	-565500.0	-1242000.0	476500.0	-174000.0	358300.0	396900.0	407048.1160158723	90.0	45.0	-100.0
93	5.90993741741355	5.515175260324562	1.6776410132526525	1.0	-3735000.0	-4520000.0	2018000.0	-6203000.0	-171900.0	6828000.0	982552.8700786536	20.0	100.0	-150.0
94	8.600903556113138	5.814801186764221	3.181536645668922	1.0	-530100.0	-708500.0	-78080.0	-632900.0	-164500.0	227400.0	-1025296.8340200086	35.0	145.0	-80.0
95	8.416391962260596	1.346161863982827	1.1012906719443751	1.0	-392800.0	-275700.0	141900.0	217500.0	25520.0	198500.0	284332.3986890087	25.0	95.0	50.0
96	6.624366203661716	3.592399371427786	2.586953162541144	1.0	-42990.0	202700.0	258100.0	630700.0	-372100.0	-867500.0	446196.95580366935	40.0	150.0	-90.0
97	6.771009339182263	4.993138485514596	1.2889182366310292	1.0	-184800.0	-139800.0	1195000.0	739000.0	236400.0	911400.0	-532563.122046109	70.0	130.0	-100.0
98	6.574143153923009	0.5764592886947364	0.6285669378488579	1.0	-1058000.0	-1405000.0	27220.0	-883400.0	-177500.0	744200.0	-1975686.9905373985	80.0	270.0	-160.0
99	7.43105526070746	3.2888926555244757	1.177417707047312	1.0	764100.0	56370.0	-566900.0	-624800.0	-335200.0	131500.0	851299.2893274216	80.0	245.0	110.0
100	13.337729749589728	-0.1957808697047789	4.148555155392644	1.0	-1748000.0	-827000.0	-380000.0	319900.0	-736800.0	-40620.0	-1547494.1755636206	60.0	60.0	-140.0
101	7.852442451142967	0.7438954285759014	0.8769285395402114	1.0	80730.0	55740.0	124700.0	182400.0	-37080.0	85290.0	43823.9721437899	80.0	85.0	-150.0
102	6.167174013616398	2.178124574142488	1.4272301147605717	1.0	-1156000.0	-2054000.0	1180000.0	-3249000.0	441900.0	4302000.0	-4213062.7326676035	55.0	125.0	-130.0
103	6.06691601751222	0.8357265370930915	2.607472672987209	1.0	-8376000.0	-10280000.0	3398000.0	-13270000.0	178500.0	13950000.0	-736985.2939469961	90.0	45.0	40.0
104	7.658618741302109	-0.7390498007901061	1.931743312266576	1.0	-3022000.0	-3106000.0	1620000.0	-5118000.0	960200.0	3920000.0	-6437480.983226446	50.0	140.0	-100.0
105	7.93798162321189	3.4552562228397257	2.091602356351994	1.0	409800.0	387800.0	-449400.0	73860.0	43150.0	-944600.0	350510.7344309988	65.0	15.0	-60.0
106	3.0670104932558133	8.752619366358282	3.1599918106009337	1.0	-397500.0	-145000.0	237300.0	612200.0	-169700.0	147600.0	-354491.05068015645	90.0	50.0	-110.0
107	2.1919482696988277	10.461053078362816	3.5039958623216307	1.0	-193400.0	-350300.0	356500.0	-493700.0	254700.0	109600.0	322280.4665006051	20.0	115.0	-80.0
108	5.103809384816234	7.74680709646097	1.6450527931911516	1.0	-203100.0	-404900.0	348800.0	-468700.0	356700.0	177700.0	-689329.7424492971	70.0	125.0	-70.0
109	3.904059281914383	7.860909981400088	2.616231437244812	1.0	97890.0	-513100.0	243200.0	-776800.0	147300.0	339200.0	-960704.180668951	80.0	185.0	-20.0
110	0.9153333056783812	9.622053650681432	2.878083919445069	1.0	-65760.0	-367500.0	203400.0	-598100.0	136000.0	118800.0	-806637.5667122675	75.0	135.0	-120.0
111	1.6603848363837446	9.626304044823511	0.2152131613691746	1.0	90000.0	-82220.0	584300.0	-258300.0	745500.0	30110.0	-694214.4053987544	50.0	320.0	-140.0
112	1.1246662163602954	8.855408920663175	2.155203508246448	1.0	1173000.0	759600.0	432100.0	1271000.0	541200.0	-183800.0	1378279.9865015016	60.0	80.0	-130.0
113	0.184939534099881	8.881546960001936	2.7057403594053167	1.0	685000.0	336000.0	601700.0	151900.0	524100.0	294500.0	683640.255277435	50.0	160.0	-80.0
114	3.382451214776103	5.270894702789434	2.348300681498117	1.0	445400.0	228400.0	217600.0	101500.0	564900.0	161600.0	609538.4935715117	50.0	135.0	-80.0
115	0.9534274234226308	8.068605456625878	1.4498844309156342	1.0	246000.0	-913600.0	-827700.0	-2007000.0	1645000.0	1693000.0	-449665.0816380065	10.0	130.0	10.0
116	-0.8039444915073668	9.199614886009412	0.8564168191734459	1.0	-970100.0	-1258000.0	661200.0	-1627000.0	-41490.0	3683000.0	-534743.6139054755	30.0	190.0	-60.0
117	1.9742209281697936	6.557216187767224	2.4518555359532104	1.0	-1263000.0	-390400.0	-452300.0	276100.0	-626500.0	-576000.0	-745657.757554865	55.0	75.0	-90.0
118	-0.7562446779820653	6.96296480619228	1.7658906506029974	1.0	190600.0	-54740.0	150700.0	-1512000.0	720100.0	-518700.0	-177496.54304594593	45.0	125.0	150.0
119	-1.2837030232429865	13.46329681584073	2.843665525056642	1.0	-339300.0	-305400.0	-930700.0	-15380.0	-1049000.0	1224000.0	-1599354.0924169514	40.0	135.0	-90.0
120	-2.277577782724305	12.863545602073756	1.2768027072726176	1.0	282400.0	-9556.0	166700.0	-163700.0	394700.0	41880.0	424788.30552887905	30.0	140.0	-90.0
121	-2.6588702369694923	10.907708799114063	2.181498649574456	1.0	281700.0	373300.0	-8102.0	764700.0	150400.0	-375100.0	653665.4515696075	70.0	95.0	-150.0
122	-2.3571642952540923	11.10256504337264	1.87827644217926	1.0	-93390.0	16150.0	-206600.0	253200.0	-243000.0	-229800.0	57440.661617846956	60.0	130.0	-70.0
123	-1.0613059371310978	15.809369884096812	0.163275780407157	1.0	363700.0	221300.0	-189500.0	923300.0	-46330.0	235200.0	365120.6350978211	15.0	40.0	20.0
124	-2.74799732706764	11.256458984795213	1.22692537810467	1.0	100600.0	50240.0	15660.0	179700.0	51490.0	-47540.0	76481.70799599547	60.0	40.0	-30.0
125	0.4544917257185011	13.796636903592796	0.824962504243678	1.0	282200.0	263200.0	-382400.0	428600.0	-116200.0	-573200.0	356828.2356622098	45.0	135.0	-80.0
126	-3.928924321545185	10.119798342673208	1.0250048986499722	1.0	353500.0	151400.0	98170.0	104000.0	177000.0	40440.0	165414.37224218977	35.0	125.0	0.0
127	-1.2912756178569536	14.71317909067269	2.3765800089332205	1.0	-64270.0	-92140.0	-129800.0	454900.0	-719400.0	98990.0	-249252.11046826476	45.0	115.0	-80.0
128	-4.907205297349695	13.358791189306276	2.3602054212956207	1.0	204500.0	5192.0	100100.0	-63940.0	293300.0	89230.0	-257040.67106602894	55.0	25.0	-40.0
129	-3.201026089017051	11.526256310271036	1.1995812152710064	1.0	-316900.0	-557500.0	239100.0	-234500.0	-199400.0	1682000.0	-883956.8775952111	45.0	140.0	-120.0
130	-3.606640900030162	12.658978216463606	3.548434296720389	1.0	119500.0	68290.0	-327200.0	366300.0	-169600.0	-347700.0	444488.0860986954	65.0	25.0	-20.0
131	-3.124574262247235	10.7551617110031	2.024926951855238	1.0	184400.0	8776.0	211200.0	-115300.0	291600.0	57050.0	206333.23748217968	60.0	90.0	-110.0
132	-3.108774815736205	13.204036368898512	1.3114597032491493	1.0	218300.0	450800.0	-366900.0	764000.0	-417600.0	-1240000.0	1081341.9271577916	55.0	140.0	-100.0
133	-2.143273731312505	12.553165616326428	2.810922751390839	1.0	339800.0	-105100.0	321600.0	443200.0	267700.0	70800.0	443673.62739273545	85.0	195.0	120.0
134	-2.4316411848350845	13.898511333745825	1.7171962251246495	1.0	401600.0	75680.0	201600.0	-13130.0	424500.0	-65620.0	-368725.00508521544	15.0	25.0	-90.0
135	-3.56098494609257	16.454411513008793	1.631058873547414	1.0	287100.0	122500.0	15010.0	338400.0	184100.0	-62750.0	429135.8514634194	80.0	315.0	-110.0
136	-1.7854529551799634	13.243290079087954	0.7341296028161847	1.0	58940.0	-100300.0	-68490.0	22410.0	120700.0	109200.0	18404.723445637035	40.0	170.0	-70.0
137	-2.899738804969953	14.298099912876078	0.1829038169095223	1.0	76920.0	233600.0	85030.0	710100.0	198500.0	176400.0	112311.10025500107	80.0	80.0	-150.0
138	2.164962096435724	10.638667887653597	0.3249028596497712	1.0	541200.0	451200.0	324900.0	1188000.0	267800.0	-129700.0	660329.2185661687	40.0	350.0	-60.0
139	-7.638702411630298	17.299744682829708	0.2863685912944987	1.0	651700.0	239400.0	130300.0	235000.0	172500.0	74930.0	651143.1726202734	60.0	135.0	-30.0
140	-7.39391176869725	15.048878500484095	2.152363512259278	1.0	856700.0	301200.0	301400.0	1204000.0	-59760.0	1125000.0	947575.819265072	45.0	145.0	-90.0
141	-3.6350972807909	14.985959086358552	2.9996000702335115	1.0	-749800.0	-315100.0	211000.0	-327200.0	347300.0	-1047000.0	-722865.5130590072	80.0	155.0	-70.0
142	-9.067870000777214	16.944323808937884	0.643337687958017	1.0	296900.0	33540.0	228100.0	-2120.0	383600.0	233800.0	163297.66304058713	70.0	105.0	-130.0
143	-7.104417201411901	16.543850885679735	0.8336570628438654	1.0	48450.0	-33170.0	-177800.0	385200.0	-86440.0	19780.0	226976.46229614766	70.0	60.0	10.0
144	-7.418716769709885	16.569570734971773	2.8089233935764706	1.0	-2944000.0	-2739000.0	1798000.0	-3123000.0	592900.0	3625000.0	1747616.3735676405	70.0	10.0	-170.0
145	-5.241825060278787	16.278405075178718	3.1236338456001387	1.0	508900.0	69260.0	-305700.0	111200.0	186200.0	1115000.0	211206.46789453347	55.0	85.0	-130.0
146	-5.816887410758469	19.71889140609766	2.838438084073914	1.0	312000.0	42160.0	191500.0	-33550.0	421400.0	432700.0	328490.4826040745	35.0	70.0	-110.0
147	-5.191583041850441	19.010726779812977	0.7628468309340586	1.0	208600.0	51480.0	-27320.0	-110300.0	117100.0	65100.0	133903.39414657725	90.0	325.0	-80.0
148	-6.22763170468304	18.063807582162585	0.1051793232139266	1.0	202600.0	-117100.0	855.9	-251600.0	59270.0	63310.0	-196604.49454875072	45.0	155.0	-110.0
149	-5.457379218066794	16.129873733227175	2.228150195594832	1.0	538600.0	74180.0	215700.0	41050.0	356200.0	-46380.0	310964.6004377634	55.0	160.0	-70.0
150	-6.741505783335336	16.561741464128957	0.476826218324951	1.0	436900.0	102900.0	202300.0	214500.0	360800.0	343100.0	279338.2841914132	90.0	35.0	-80.0
151	-7.23648421592951	17.342461095232114	2.368332375522314	1.0	-2008000.0	-2972000.0	821400.0	-3916000.0	160200.0	5133000.0	-5124332.456407676	70.0	100.0	-150.0
152	-7.784997930622375	18.50448394049645	2.936126530810136	1.0	470800.0	175300.0	23640.0	136200.0	492900.0	838600.0	-413668.89030546194	30.0	20.0	-60.0
153	-3.5141180170663064	15.843580128576132	2.4917709437337465	1.0	262700.0	125600.0	-87710.0	46820.0	354500.0	273800.0	-7358.751933370251	40.0	350.0	-40.0
154	-5.969964266721202	15.719966589753572	1.5865962248798524	1.0	246700.0	30280.0	41730.0	40880.0	252300.0	69850.0	51538.913506197074	70.0	135.0	-130.0
155	-7.525683443224602	18.92233502634529	2.5864284684588017	1.0	-97550.0	-802900.0	581500.0	525600.0	-105400.0	2947000.0	-891444.3490109763	80.0	155.0	-70.0
156	-5.553707089406673	18.79308840653088	0.4694638913190408	1.0	261900.0	141800.0	-77930.0	47860.0	238700.0	100700.0	-154645.40387552412	55.0	35.0	-50.0
157	-7.999596254810502	17.934498295150487	1.4927125017094118	1.0	226000.0	-117900.0	42840.0	-290400.0	104900.0	75680.0	-261669.19893513236	55.0	165.0	-80.0
158	-6.880348036167465	15.984338774795628	0.4560452612405151	1.0	245000.0	349700.0	-213000.0	503100.0	421900.0	844500.0	285689.1518614688	30.0	315.0	-90.0
159	10.619342391546526	0.8306155799993399	0.4939334630822617	1.0	-50900.0	102700.0	-53350.0	420000.0	-458600.0	-163300.0	226976.6417094575	65.0	125.0	-70.0
160	5.29221989680005	1.011766160984041	0.9478389392739746	1.0	205700.0	327700.0	169300.0	586600.0	4280.0	71510.0	319607.8896802835	80.0	220.0	-10.0
161	9.842049402041033	-0.5390030621286226	0.9834728578875594	1.0	126600.0	-331900.0	-857500.0	-1434000.0	-264000.0	221500.0	-990175.0791015687	15.0	150.0	-100.0
162	9.594816933948955	1.0557040259899273	0.9758434252562836	1.0	412300.0	283000.0	331300.0	642800.0	-115600.0	-194600.0	846873.9043404406	55.0	160.0	-60.0
